CITY,STATE,IBGE_ID,CAPITAL,IBGE_RES_POP_ESTR_PERC,IBGE_DU_RATE,IBGE_DU_RURAL_PERC,IBGE_POP_UP_PERC,IBGE_0-14_PERC,IBGE_15-59_PERC,IBGE_60+_PERC,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,REGIAO_TUR,CATEGORIA_TUR,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,CARS_RATE,MOTORCYCLES_RATE,UBER,MCDONALDS,WALMART,POST_OFFICES_RATE,IBGE_POP_10+_2010,IBGE_EDU_0_PERC,IBGE_EDU_1_PERC,IBGE_EDU_2_PERC,IBGE_EDU_3_PERC,IBGE_EDU_NA_PERC,IBGE_ESTIMATED_POP_2017,HOMICIDES,HIDDEN_HOMICIDES,GINI_INDEX_2000,GINI_INDEX_2010,ILLITERACY_RATE_10+_2010,UNEMPLOYMENT_RATE_10+_2010
Abadia De Goiás,GO,5200050,0,0,0.310791158,0.27655592,0.770796975,0.253207547,0.668301887,0.078490566,319,1843,1689,0.708,0.687,0.83,0.622,-49.44054783,-16.75881189,893.6,360,842,147.26,Sem Região,Z,Urbano,6.2,27991.25,74750.32,36915.04,145857.6,20554.2,166.41,8053,20664.57,Demais serviços,28227691,284,5,1,56,0,2,29,110,26,4,5,0,2,10,12,4,6,6,1,5,0,0,0,0,0,0,0,0,0,0,0.25142724,0.145170686,0,0,0,11.6509379,0.844240838,0.557105943,0.196210164,0.190008613,0.056503015,0,8207,4,0,0.5005,0.4258,0.070332701,0.325116359
Abadia Dos Dourados,MG,3100104,0,0,0.34725537,0.363831615,0.619630072,0.206066442,0.652142513,0.141791045,4479,18017,2207,0.69,0.693,0.839,0.563,-47.39683244,-18.48756496,753.12,77,296,881.06,Caminhos Do Cerrado,D,Rural Adjacente,50524.57,25917.7,62689.23,28083.79,167215.28,12873.5,180.09,7037,25591.7,Demais serviços,17909274,476,6,6,30,1,2,34,190,70,28,11,0,4,15,29,2,9,14,6,19,0,0,0,0,0,0,0,0,0,0,0.319420539,0.163798049,0,0,0,14.34308663,0.877983294,0.628100578,0.200135916,0.120625212,0.048589874,0.00254842,7059,2,1,0.511,0.4738,0.083573487,0.345821326
Abadiânia,GO,5200100,0,0.009392651,0.295424256,0.305477981,0.676270864,0.259947447,0.647147147,0.092905405,10307,33085,2202,0.69,0.671,0.841,0.579,-48.71881214,-16.18267186,1017.55,227,720,1045.13,Região Turística Do Ouro E Cristais,C,Rural Adjacente,42.84,16728.3,138198.58,63396.2,261161.91,26822.58,287984.49,18427,15628.4,Demais serviços,37513019,288,5,9,26,0,2,7,117,12,57,2,1,0,7,15,3,11,5,1,8,0,0,9,408,1,1,1,1,33724584,67091904,0.144692567,0.072703171,0,0,0,15.29519731,0.856190899,0.590615966,0.173078349,0.194648284,0.035134534,0.006522867,18775,8,0,0.5493,0.4427,0.098286477,0.382760923
Abaeté,MG,3100203,0,0,0.339092111,0.133480634,0.813750551,0.20602253,0.648775997,0.145201473,1862,7502,1994,0.698,0.72,0.848,0.556,-45.44619142,-19.15584769,644.74,1230,1716,1817.07,Lago De Três Marias,D,Urbano,113824.6,31002.62,172.33,86081.41,403241.27,26994.09,430235.36,23574,18250.42,Demais serviços,,621,18,1,40,0,1,20,303,62,30,9,6,4,28,27,2,15,19,9,27,0,0,0,0,2,2,2,2,44974716,371922572,0.298324936,0.127158421,0,0,0,17.22430349,0.873997356,0.661338309,0.143865665,0.139176038,0.051182492,0.004387071,23611,3,0,0.5862,0.551,0.080375151,0.327904397
Abaetetuba,PA,1500107,0,0.00042523,0.220134656,0.386465342,0.587923459,0.282607647,0.645113072,0.072279281,25200,700872,3530,0.628,0.579,0.798,0.537,-48.88440382,-1.723469863,10.12,3389,1218,1610.65,Araguaia-Tocantins,D,Urbano,140463.72,58610,468128.69,486872.4,1154074.81,95180.48,1249255.29,151934,8222.36,"Administração, defesa, educação e saúde públicas e seguridade social",,931,4,2,43,0,1,27,500,16,31,6,1,1,22,16,2,155,33,15,56,0,0,3,144,2,4,2,4,76181384,800078483,0.033763724,0.164186267,0,0,0,1.279656028,0.80734231,0.626830296,0.155939464,0.182292215,0.029267179,0.005662067,153380,95,1,0.5865,0.5389,0.127094935,0.490646788
Abaiara,CE,2300101,0,0,0.265910823,0.551773558,0.432355183,0.291978845,0.579770824,0.128250331,2598,5234,3522,0.628,0.54,0.748,0.612,-39.04754664,-7.356976596,403.11,29,34,180.08,Sem Região,Z,Rural Adjacente,4435.16,5.88,22.81,35989.96,69108.67,4042.79,73151.46,11483,6370.41,"Administração, defesa, educação e saúde públicas e seguridade social",,86,1,0,4,0,0,6,48,2,10,2,0,0,2,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.047414902,0.143530824,0,0,0,8.574123296,0.823075457,0.62183123,0.146892001,0.205695104,0.019215187,0.006482232,11605,4,0,0.608,0.488,0.263468208,0.389942197
Abaíra,BA,2900108,0,0,0.309283309,0.536158631,0.447931698,0.196778523,0.622550336,0.180671141,895,3999,4086,0.603,0.577,0.746,0.51,-41.66160848,-13.25353189,674.22,952,335,538.68,Chapada Diamantina,D,Rural Remoto,12.41,3437.43,17990.74,28463.74,62304.83,2019.77,64324.59,9212,6982.7,"Administração, defesa, educação e saúde públicas e seguridade social",,191,6,0,8,0,1,4,97,5,5,3,1,0,5,5,2,8,1,2,38,0,0,1,50,0,0,0,0,0,0,0.102201437,0.079388616,0,0,0,11.4064104,0.881553632,0.712181149,0.124130405,0.137634702,0.02073387,0.005319875,9199,0,1,0.54,0.4742,0.181259391,0.392022948
Abaré,BA,2900207,0,0,0.253867792,0.450831025,0.527074543,0.311874583,0.598843674,0.089281743,2058,22761,4756,0.575,0.533,0.776,0.46,-39.11658794,-8.723418246,316.38,51,222,1604.92,Sem Região,Z,Rural Remoto,9176.4,6.7,36921.84,65.75,118.55,6.21,124754.26,19939,6256.8,"Administração, defesa, educação e saúde públicas e seguridade social",,87,2,0,3,0,0,0,71,0,1,1,0,0,0,1,2,0,2,0,4,0,0,0,0,1,0,1,0,21823314,0,0.030937721,0.077319067,0,0,0,5.04693651,0.79717534,0.712416379,0.143277218,0.121664339,0.020363155,0.002205396,20189,3,0,0.5528,0.5621,0.243794977,0.530474372
Abatiá,PR,4100103,0,0,0.32187017,0.24889956,0.732225657,0.21530343,0.642040457,0.142656113,1197,9943,2258,0.687,0.676,0.804,0.596,-50.31252658,-23.30049404,579.3,55,392,228.72,Sem Região,Z,Rural Adjacente,73340.52,8839.71,42999.37,34103.49,159283.08,5.77,165048.21,7795,21173.6,"Agricultura, inclusive apoio à agricultura e a pós colheita",,285,5,0,20,0,1,10,133,18,14,8,0,4,11,26,2,8,9,4,12,0,0,0,0,0,1,0,1,0,45976288,0.288797123,0.121486612,0,0,0,13.32090049,0.87184441,0.635396661,0.142118481,0.182892599,0.039739991,0,7768,0,1,0.438,0.4424,0.152270047,0.300560142
Abdon Batista,SC,4200051,0,0,0.319638145,0.724056604,0.272898605,0.215469613,0.66160221,0.122928177,5502,26195,2092,0.69,0.66,0.812,0.625,-51.02527221,-27.60898712,720.98,109,260,237.16,Vale Do Contestado,D,Rural Adjacente,24996.75,3578.87,16011.1,17842.64,62429.36,2312.65,64742.01,2617,24739.02,"Administração, defesa, educação e saúde públicas e seguridade social",19506956,69,2,0,4,0,0,2,35,8,3,1,1,0,4,0,2,1,3,0,3,0,0,1,44,0,1,0,1,0,42909056,0.378734963,0.133876601,0,0,0,38.8048118,0.86618922,0.632724108,0.130113142,0.185813751,0.05178416,0,2604,0,0,0.559,0.4597,0.088811493,0.329995646
Abel Figueiredo,PA,1500131,0,0,0.277286136,0.122340426,0.884660767,0.312270757,0.609703234,0.078026009,1184,4168,3657,0.622,0.625,0.8,0.481,-48.39676213,-4.951390896,192.76,248,43,614.13,Amazônia Atlântica,E,Intermediário Adjacente,21381.59,5.31,20515.48,27736.46,74947.67,4709.92,79657.59,7179,11095.92,"Administração, defesa, educação e saúde públicas e seguridade social",,72,0,0,9,0,1,0,41,1,0,1,0,0,2,1,6,6,0,0,4,0,0,0,0,0,1,0,1,0,11709575,0.037794636,0.109319967,0,0,0,13.54646437,0.797935103,0.689648799,0.17818854,0.109796673,0.022365989,0,7231,5,0,0.5183,0.5825,0.157641841,0.4110146
Abelardo Luz,SC,4200101,0,0.000935673,0.277134503,0.431525638,0.558128655,0.265507125,0.635792121,0.098700754,57186,254540,2032,0.696,0.684,0.852,0.578,-52.33648238,-26.56303102,724.99,484,910,953.99,Grande Oeste,D,Rural Adjacente,212531.45,78176.47,197092.1,78972.1,566772.13,37508.23,604280.35,17782,33982.7,"Agricultura, inclusive apoio à agricultura e a pós colheita",,464,8,2,40,1,1,25,177,67,25,9,4,7,26,16,2,14,13,4,23,0,0,1,130,1,2,1,2,29730462,382942698,0.326273323,0.112119684,0,0,0,5.603182608,0.830233918,0.617383954,0.186306966,0.142776643,0.053461999,0,17847,2,0,0.7209,0.5445,0.097689815,0.381884773
Abre Campo,MG,3100302,0,0.001277139,0.295244535,0.439694656,0.53346856,0.224757076,0.635403464,0.139839459,4543,24155,3046,0.654,0.646,0.823,0.525,-42.48098999,-20.30144528,589.83,625,519,470.55,Montanhas E Fé,D,Rural Adjacente,43828.42,10448.76,72852.23,50.66,177793.23,10110.5,187903.74,13726,13689.62,Demais serviços,,369,3,2,33,0,1,12,148,31,17,5,3,4,17,12,4,11,22,6,38,0,0,0,0,0,1,0,1,0,81340685,0.210768659,0.137467508,0,0,0,14.85332343,0.855758395,0.698182776,0.124396453,0.126766746,0.050654025,0,13733,3,1,0.516,0.5225,0.111461619,0.37276551
Abreu E Lima,PE,2600054,0,0.000232979,0.298446452,0.079412391,0.862891696,0.229854446,0.67191527,0.098230284,387,2595,2477,0.679,0.625,0.791,0.632,-34.89913058,-7.90444899,27.06,1418,4661,126.19,Costa Náutica Coroa Do Avião,D,Urbano,7.8,384262.09,526.04,336141.88,1254241.3,170264.52,1424505.83,98990,14390.4,Demais serviços,119645700,841,1,0,130,0,2,26,434,27,36,14,3,4,18,30,2,47,20,6,41,0,0,0,0,2,3,2,3,155632735,460626103,0.146343177,0.101604063,0,0,0,1.003794343,0.850130786,0.512973828,0.181820447,0.275334155,0.024764254,0.005094859,99364,75,10,0.4819,0.4676,0.09547151,0.420987808
Abreulândia,TO,1700251,0,0,0.317858637,0.414473684,0.617314931,0.326558266,0.590785908,0.082655827,13102,31281,2786,0.665,0.7,0.835,0.502,-49.16243756,-9.621790712,238.86,14,29,1895.21,Sem Região,Z,Rural Adjacente,20312.55,2108.24,6802.38,16520.91,45744.07,1634.18,47378.25,2555,18543.35,"Administração, defesa, educação e saúde públicas e seguridade social",9712530,27,4,0,0,0,0,3,11,0,1,1,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.074102964,0.124024961,0,0,0,39.00156006,0.789209536,0.623211447,0.180710122,0.13672496,0.057763646,0.001059883,2571,0,0,0.4992,0.7146,0.123011665,0.449098621
Acaiaca,MG,3100401,0,0,0.32244898,0.340189873,0.650510204,0.248627451,0.62,0.131372549,208,509,3493,0.63,0.61,0.823,0.499,-43.1482389,-20.36040893,492.79,229,133,101.89,Serras De Minas,E,Rural Adjacente,3838.68,1892.39,11978.78,17695.77,35405.62,1018.41,36424.03,4061,8969.23,"Administração, defesa, educação e saúde públicas e seguridade social",12182050,60,1,3,8,0,0,2,24,1,4,1,0,0,1,3,2,5,1,0,4,0,0,2,52,0,0,0,0,0,0,0.225087631,0.149724587,0,0,0,25.03755633,0.864285714,0.688902007,0.130460449,0.118654073,0.036894923,0.024793388,4065,0,1,0.5547,0.4821,0.124778761,0.417699115
Açailândia,MA,2100055,0,0.00027872,0.264524686,0.251099081,0.750439705,0.302634444,0.630076459,0.067289097,27137,89420,2633,0.672,0.643,0.785,0.602,-47.50666459,-4.951377,229.05,1225,2618,5806.44,Sem Região,Z,Urbano,159853.84,488799.22,779.84,364811.85,1793302.18,206244.13,1999546.31,110543,18088.4,Demais serviços,214456331,1334,47,1,113,0,5,75,657,61,80,18,5,21,38,72,3,21,52,12,53,0,0,2,135,2,3,2,3,125525251,1494221307,0.088898235,0.21661283,0,0,0,0.894798536,0.798254635,0.589216914,0.188704007,0.186308033,0.031159699,0.004599306,111339,56,1,0.63,0.5732,0.159548829,0.43645763
Acajutiba,BA,2900306,0,0.000682454,0.28089811,0.117589893,0.868559339,0.294727744,0.582383908,0.122888348,4570,11442,4613,0.58,0.56,0.723,0.487,-38.01828637,-11.66261283,183.93,426,297,181.48,Sem Região,Z,Rural Adjacente,23176.61,7.02,33546.04,48142.87,111888.63,3269.82,115158.46,15764,7305.15,"Administração, defesa, educação e saúde públicas e seguridade social",27275310,96,2,0,4,0,0,1,57,2,3,1,2,0,1,2,3,3,4,2,9,0,0,0,0,0,1,0,1,0,50185684,0.055125917,0.095445833,0,0,0,6.609822196,0.812598103,0.713529856,0.113042748,0.149491896,0.016880826,0.007054674,15727,15,1,0.5753,0.5791,0.202988583,0.449042982
Acará,PA,1500206,0,0.000989378,0.22089268,0.7452886,0.235023988,0.343129468,0.578316124,0.078554408,41637,342851,5513,0.506,0.517,0.757,0.332,-48.20045643,-1.9634365,7.4,964,181,4343.55,Araguaia-Tocantins,D,Rural Adjacente,441281.74,43934.34,97080.41,188941.14,771237.62,17.18,788.42,54080,14578.7,"Agricultura, inclusive apoio à agricultura e a pós colheita",106368816,162,8,3,6,0,0,4,99,3,2,1,0,0,1,3,3,12,0,1,16,0,0,2,178,1,1,1,1,22821995,37523391,0.011744997,0.060202115,0,0,0,1.801379857,0.763986634,0.820407565,0.104139178,0.060817084,0.010922152,0.00371402,54096,32,0,0.5018,0.5355,0.211556293,0.517300278
Acarape,CE,2300150,0,0,0.272916938,0.478977544,0.533902725,0.274026133,0.628770302,0.097203566,1386,1274,4009,0.606,0.559,0.709,0.562,-38.70562377,-4.223138409,94.51,692,91,155.17,Sem Região,Z,Intermediário Adjacente,4.68,23265.11,36147.88,54.65,118741.09,9649.83,128390.92,16418,7820.13,"Administração, defesa, educação e saúde públicas e seguridade social",33078580,132,2,9,39,0,0,2,54,4,2,0,0,0,1,3,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0.070718878,0.080914345,0,0,0,12.98785635,0.825922545,0.616277234,0.170429428,0.187796021,0.020287338,0.005209978,16543,11,0,0.4984,0.4331,0.194549464,0.425960933
Acaraú,CE,2300200,0,0.000156383,0.255078105,0.495231608,0.419054404,0.274287847,0.627068043,0.09864411,18505,38871,4125,0.601,0.554,0.758,0.517,-40.11824147,-2.88531054,17.29,3032,479,845.47,Litoral Extremo Oeste,C,Rural Adjacente,74352.86,94123.87,187.46,188055.4,543990.18,36737.25,580727.43,61715,9409.83,"Administração, defesa, educação e saúde públicas e seguridade social",101483437,638,41,1,38,8,0,6,363,7,28,3,0,6,9,14,2,71,17,6,18,0,0,1,18,1,3,1,3,57802114,529074069,0.053886855,0.167015682,0,0,0,1.59854213,0.825129016,0.69903342,0.159517342,0.118558763,0.021058395,0.001811022,62199,25,2,0.6442,0.6087,0.257301193,0.462767078
Acari,RN,2400109,0,0.000453104,0.298867241,0.174954518,0.748527413,0.209322034,0.631598063,0.159079903,375,1977,2462,0.679,0.633,0.779,0.634,-36.64373887,-6.442085089,258.84,947,146,608.47,Polo Seridó,D,Intermediário Adjacente,12.58,9.27,30.36,50992.14,103203.25,5380.07,108583.31,11338,9576.94,"Administração, defesa, educação e saúde públicas e seguridade social",22943205,167,4,0,33,1,0,5,83,0,5,1,1,1,2,4,2,12,2,1,10,0,0,1,30,0,0,0,0,0,0,0.112894548,0.161585366,0,0,0,8.967001435,0.864884459,0.596500419,0.137992456,0.224329422,0.041177703,0,11333,0,0,0.473,0.4915,0.162000629,0.396351054
Acauã,PI,2200053,0,0,0.278115276,0.858284497,0.133501259,0.298557159,0.619311876,0.082130966,5520,503,5408,0.528,0.517,0.692,0.411,-41.08363782,-8.220786663,372.31,6,28,1279.59,Polo Histórico Cultural,E,Rural Adjacente,6.05,1556.09,7052.14,25754.39,40410.01,2192.56,42602.57,6951,6128.98,"Administração, defesa, educação e saúde públicas e seguridade social",14935714,77,0,0,2,0,1,0,20,4,3,1,0,0,0,2,7,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0.038499646,0.143524416,0,0,0,14.15428167,0.827530004,0.795702775,0.111727842,0.080393912,0.011996419,0,6966,0,0,0.6553,0.501,0.275292004,0.386522911
Aceguá,RS,4300034,0,0.029358216,0.318161129,0.775393419,0.241010469,0.243626062,0.645892351,0.110481586,31149,119866,2259,0.687,0.703,0.852,0.541,-54.16473154,-31.8640153,237.92,171,298,1551.34,Pampa Gaúcho,D,Urbano,130383.04,10632.62,66901.48,30193.24,238110.37,12221.86,250332.23,4731,52913.18,"Agricultura, inclusive apoio à agricultura e a pós colheita",22028721,168,8,0,8,0,1,2,86,8,9,0,1,0,2,13,3,6,3,5,13,0,0,0,0,0,1,0,1,0,13450411,0.421160972,0.121655002,0,0,0,41.16920543,0.85457442,0.650332889,0.187483356,0.120905459,0.039414115,0.00159787,4759,0,0,,0.5347,0.057870985,0.367135652
Acopiara,CE,2300309,0,0,0.293999218,0.475766239,0.491770915,0.247903335,0.601017529,0.151079137,17482,4244,4279,0.595,0.563,0.724,0.517,-39.45570528,-6.092761995,312.96,426,598,2265.35,Sem Região,Z,Rural Adjacente,35057.66,17008.7,137661.95,155449.9,345.18,26.52,371701.24,53358,6966.18,"Administração, defesa, educação e saúde públicas e seguridade social",85042995,365,2,0,26,0,0,6,255,1,15,5,1,4,7,5,2,5,2,4,25,0,0,0,0,1,3,1,3,33077714,262320355,0.058556303,0.205002689,0,0,0,18.54221134,0.845992963,0.709087128,0.156650724,0.114322682,0.018506966,0.001455604,53572,33,1,0.7103,0.5802,0.301104017,0.392099016
Acorizal,MT,5100102,0,0,0.315808557,0.483926521,0.530456853,0.253246753,0.612781955,0.133971292,278,2299,3523,0.628,0.594,0.816,0.51,-56.37155257,-15.19788998,201.78,187,192,1014.03,Sem Região,Z,Rural Adjacente,9896.08,13184.24,13177.61,28665.55,64923.48,5913.52,70836.99,5301,13362.95,"Administração, defesa, educação e saúde públicas e seguridade social",,57,2,2,5,0,0,5,28,1,3,0,0,0,2,2,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.090707965,0.097529499,0,0,0,55.30973451,0.848803481,0.669158479,0.119179838,0.134771465,0.021571978,0.055104656,5269,2,0,0.5802,0.5084,0.212030717,0.443686007
Acrelândia,AC,1200013,0,0.000239273,0.276997926,0.516556291,0.470728984,0.340054219,0.59030837,0.069637411,5807,31152,4079,0.604,0.584,0.808,0.466,-67.05231658,-10.07379389,205.89,184,369,1807.95,Sem Região,Z,Rural Adjacente,91143.89,14.02,32079.69,85106.34,222349.24,5261.66,227610.9,14120,16119.75,"Administração, defesa, educação e saúde públicas e seguridade social",22507579,107,2,0,15,0,0,0,56,1,5,1,0,0,1,1,3,8,6,0,8,0,0,3,78,0,1,0,1,0,86310524,0.081424767,0.222569907,0,0,0,6.657789614,0.785053438,0.689322361,0.152290968,0.129635274,0.028141827,0.00060957,14366,5,0,0.619,0.5464,0.137759757,0.475012671
Acreúna,GO,5200134,0,0.000443809,0.319788944,0.130917502,0.836776961,0.246213684,0.663327244,0.090459072,112457,452254,2282,0.69,0.71,0.822,0.553,-50.37497337,-17.39815622,542.39,596,2065,1566,Sem Região,Z,Urbano,232884.07,47274.38,207423.31,86.03,573612.01,40799.1,614411.11,21905,28048.9,"Agricultura, inclusive apoio à agricultura e a pós colheita",46887656,318,19,0,25,0,0,4,160,23,15,3,0,3,9,10,6,16,8,3,14,0,0,0,0,2,1,2,1,81831560,98509641,0.220539176,0.15602741,0,0,0,4.508159769,0.844666897,0.63471306,0.141339249,0.179344971,0.040632845,0.003911495,22076,3,0,0.5839,0.5419,0.133789634,0.357201357
Açu,RN,2400208,0,0.000206662,0.279557368,0.256518817,0.784169688,0.248999736,0.651548911,0.099451352,1301,12773,2889,0.66,0.641,0.795,0.568,-36.91792322,-5.571945999,48.68,4466,1094,1303.44,Polo Costa Branca,D,Urbano,19768.32,124288.5,324444.15,252219.21,720720.18,62923.66,783.64,57743,13571.24,"Administração, defesa, educação e saúde públicas e seguridade social",92773968,843,11,1,59,0,7,39,445,16,64,17,6,2,25,30,2,48,22,10,39,0,0,4,353,1,3,1,3,66058899,871798349,,,0,0,0,6.93914371,0.838972702,0.608742386,0.170592977,0.176773558,0.041047116,0.002843963,58183,32,1,0.604,0.5387,0.207263955,0.406911032
Açucena,MG,3100500,0,0,0.297878552,0.516824567,0.466134683,0.253235908,0.589770355,0.156993737,483,1474,3905,0.61,0.595,0.844,0.451,-42.54621088,-19.07671289,473.7,105,227,815.42,Mata Atlântica De Minas,D,Rural Adjacente,17100.04,20186.12,18898.2,36509.15,92693.5,1962.69,94656.19,10066,9403.56,"Administração, defesa, educação e saúde públicas e seguridade social",15750762,76,2,1,3,0,1,5,33,1,2,0,0,1,4,2,3,12,1,0,5,0,0,0,0,0,0,0,0,0,0,0.126579634,0.17462141,0,0,0,41.77545692,0.85509926,0.739046318,0.122567429,0.102082622,0.024467964,0.011721862,9997,3,2,0.5569,0.4955,0.174007056,0.438716285
Adamantina,SP,3500105,0,0.000828476,0.335384797,0.049228055,0.937805131,0.173749803,0.651553873,0.174696324,14699,69644,69,0.79,0.772,0.852,0.75,-51.07336475,-21.68831148,451.12,1354,7648,411.99,Águas Do Oeste,C,Urbano,41899.77,298402.33,587636.55,151089.03,1079027.68,73.41,1152441.22,35094,32838.7,Demais serviços,115703289,1726,272,0,102,0,4,35,663,102,99,41,21,28,75,79,2,32,65,20,86,0,0,2,128,3,2,3,2,526179392,823567347,0.424035634,0.185049824,0,0,0,2.855266539,0.892653194,0.4215917,0.165467864,0.272100501,0.135470185,0.00536975,35139,1,1,0.5494,0.5151,0.059842363,0.273877335
Adelândia,GO,5200159,0,0.002422285,0.341542188,0.11820331,0.884134033,0.21369863,0.655251142,0.131050228,1091,4158,1858,0.7,0.664,0.836,0.622,-50.16314668,-16.41500151,641.11,100,75,115.35,Sem Região,Z,Rural Adjacente,7943.41,2.75,8461.79,11114.75,30268.77,1695.42,31964.19,2561,12481.14,"Administração, defesa, educação e saúde públicas e seguridade social",11102682,57,1,0,10,0,0,1,30,3,0,0,0,0,1,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.232022249,0.15613826,0,0,0,39.72983711,0.867178038,0.608472998,0.159683426,0.202048417,0.030260708,0,2564,0,0,0.5474,0.4325,0.135750814,0.284053928
Adolfo,SP,3500204,0,0,0.337362946,0.099166667,0.899634523,0.1934375,0.6496875,0.156875,9755,67479,1044,0.73,0.71,0.844,0.648,-49.64972143,-21.23272978,425.39,520,271,211.06,Coração Do Tietê,D,Rural Adjacente,29090.08,6.14,27.72,21018.78,83.98,2.49,86.47,3616,23911.98,"Agricultura, inclusive apoio à agricultura e a pós colheita",,81,10,2,3,0,0,2,33,5,4,0,0,0,2,2,2,3,1,3,9,0,0,1,22,1,0,1,0,32631770,0,0.390366844,0.112293475,0,0,0,28.0033604,0.881641833,0.581951531,0.190369898,0.148278061,0.063456633,0.016581633,3609,1,0,0.3904,0.4111,0.075031928,0.311302682
Adrianópolis,PR,4100202,0,0,0.309912171,0.674595142,0.321518193,0.264390244,0.613658537,0.12195122,4257,41893,2746,0.667,0.644,0.817,0.563,-48.99175454,-24.66168971,180.71,367,539,1349.31,Sem Região,Z,Rural Adjacente,29899.62,107937.11,40706.69,30010.3,208553.72,30526.62,239080.34,6293,37991.47,Indústrias de transformação,27071690,145,3,3,3,0,0,8,74,18,13,1,1,0,1,3,3,2,2,0,10,0,0,0,0,1,0,1,0,20476881,0,0.240180511,0.154604713,0,0,0,50.1420692,0.833908407,0.644724469,0.154598458,0.154410382,0.02482603,0.021628738,6254,3,0,0.578,0.5393,0.148992277,0.424562064
Adustina,BA,2900355,0,0,0.289389887,0.625,0.353139727,0.243462579,0.630838593,0.125698828,26000,26863,5261,0.546,0.526,0.718,0.432,-38.11550583,-10.52957157,280.71,199,81,632.14,Caminhos Do Sertão,E,Rural Adjacente,14279.65,4420.39,29.09,49456.17,97.25,4230.11,101477.93,17254,5881.41,"Administração, defesa, educação e saúde públicas e seguridade social",29542520,92,0,0,2,0,0,0,67,0,0,2,0,0,4,2,2,2,0,0,11,0,0,1,16,0,0,0,0,0,0,0.015610105,0.070602955,0,0,0,5.958055291,0.833205961,0.788351296,0.120614538,0.074447757,0.016509975,0,17349,1,1,0.504,0.5478,0.317062009,0.435893525
Afogados Da Ingazeira,PE,2600104,0,0,0.31004902,0.203327512,0.779041268,0.25963051,0.616389245,0.123980245,3625,1404,2974,0.657,0.623,0.807,0.565,-37.63768602,-7.748327586,515.35,771,4181,377.7,Território Da Poesia E Da Cantoria,C,Urbano,7.6,33313.36,180015.56,127392.7,348319.5,37329.59,385649.08,36866,10460.83,"Administração, defesa, educação e saúde públicas e seguridade social",68786462,527,1,0,27,0,2,13,305,3,24,15,5,2,11,15,9,15,19,9,52,0,0,1,133,1,2,1,2,95355383,251149663,0.154590283,0.281884077,0,0,0,2.694618846,0.835100319,0.619821173,0.148351648,0.171865402,0.04672036,0.01320729,37017,6,0,0.66,0.5762,0.209995914,0.39227836
Afonso Bezerra,RN,2400307,0,0,0.271855404,0.456580733,0.528956105,0.253312413,0.608786611,0.137900976,711,6358,4539,0.585,0.56,0.713,0.502,-36.50914823,-5.498734268,64.5,163,82,576.18,Polo Costa Branca,D,Rural Adjacente,6021.35,3492.56,18878.04,53155.08,81547.02,3237.99,84785.01,11207,7565.36,"Administração, defesa, educação e saúde públicas e seguridade social",29729803,72,1,0,3,0,0,3,49,0,2,1,0,0,1,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.059324337,0.075898922,0,0,0,9.05715062,0.821191442,0.698483998,0.131723751,0.148905109,0.020774846,0,11211,7,0,0.5875,0.5224,0.289570964,0.424666741
Afonso Cláudio,ES,3200102,0,0,0.317101412,0.461405822,0.506802612,0.218569525,0.637938694,0.143491781,12267,114366,2744,0.667,0.661,0.825,0.544,-41.12545972,-20.07704001,360.8,1230,995,941.19,Montanhas Capixabas,D,Rural Adjacente,103014.12,52.08,167837.75,124250.88,447184.74,25292.01,472476.75,32407,14579.47,Demais serviços,69220540,555,4,12,37,0,1,21,285,9,30,5,4,0,20,12,3,27,20,8,57,0,0,3,127,0,3,0,3,0,324101608,0.26468099,0.259895833,0,0,0,19.53125,0.856903927,0.652953982,0.14124315,0.159710232,0.045679754,0.000375347,32361,5,1,0.5412,0.5101,0.131043018,0.323556989
