CITY,STATE,IBGE_ID,CAPITAL,IBGE_RES_POP_ESTR_PERC,IBGE_DU_RATE,IBGE_DU_RURAL_PERC,IBGE_POP_UP_PERC,IBGE_0-14_PERC,IBGE_15-59_PERC,IBGE_60+_PERC,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,REGIAO_TUR,CATEGORIA_TUR,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,CARS_RATE,MOTORCYCLES_RATE,UBER,MCDONALDS,WALMART,POST_OFFICES_RATE,IBGE_POP_10+_2010,IBGE_EDU_0_PERC,IBGE_EDU_1_PERC,IBGE_EDU_2_PERC,IBGE_EDU_3_PERC,IBGE_EDU_NA_PERC,IBGE_ESTIMATED_POP_2017,HOMICIDES,HIDDEN_HOMICIDES,GINI_INDEX_2000,GINI_INDEX_2010,ILLITERACY_RATE_10+_2010,UNEMPLOYMENT_RATE_10+_2010
Rondolândia,MT,5107578,0,0,0.226692564,0.642594859,0.26082131,0.318085106,0.630851064,0.05106383,382,1240,3311,0.64,0.619,0.8,0.53,-61.45967817,-10.84430197,228,7,30,12670.91,Sem Região,Z,Rural Adjacente,30.25,3089.77,8058.87,24609.14,66,3435.01,69438.02,3823,18163.23,"Pecuária, inclusive apoio à pecuária",,39,6,0,16,0,0,0,9,0,0,0,0,1,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.012102874,0.008825013,0,0,0,25.21432173,0.775527192,0.644722719,0.182826476,0.128801431,0.039355993,0.004293381,3854,0,0,,0.534,0.140669516,0.402065527
Rondon,PR,4122602,0,0.00211205,0.312805691,0.201137171,0.772676745,0.225435189,0.652567976,0.121996835,20142,63237,1540,0.713,0.724,0.82,0.61,-52.76249231,-23.41265998,405.02,253,730,555.13,Corredores Das Águas,D,Intermediário Adjacente,62.01,63999.32,82.72,41701.9,250431.14,18299.09,268730.23,9535,28183.56,Demais serviços,26827232,326,12,2,32,0,3,11,138,50,5,3,0,9,8,5,2,10,10,4,22,0,0,0,0,1,1,1,1,39381937,81932315,0.339731487,0.149989511,0,0,0,10.48877701,0.855269008,0.567845074,0.18572914,0.168572914,0.076813101,0.001039771,9581,0,0,0.5097,0.4133,0.097848626,0.252332815
Rondon Do Pará,PA,1506187,0,0.000234222,0.267119496,0.25125548,0.737628822,0.298048612,0.629986721,0.071964667,50086,169212,4117,0.602,0.606,0.788,0.457,-48.06997375,-4.777821727,192.54,1197,498,8246.39,Sem Região,Z,Urbano,120448.39,34886.77,152791.91,179858.25,487985.31,29598.76,517584.07,50460,10257.31,"Administração, defesa, educação e saúde públicas e seguridade social",82018840,597,29,1,68,0,3,13,340,19,19,10,2,0,22,14,2,9,16,9,21,0,0,0,0,1,4,1,4,74088367,442714120,0.043022561,0.19863977,0,0,0,1.926670905,0.812558555,0.700479547,0.162757789,0.107622966,0.02607374,0.003065957,50925,23,0,0.5923,0.5647,0.182858789,0.45909841
Rondonópolis,MT,5107602,0,0.001437517,0.315174241,0.035887614,0.952812621,0.238773275,0.681281275,0.07994545,120755,335779,460,0.755,0.749,0.823,0.698,-54.63358704,-16.47016287,232.44,10557,34695,4686.62,Região Turística Rota Dos Ipês E Das Águas,B,Urbano,288744.67,2628775.88,4309.54,1174175.28,8401.23,1016880.32,9418.11,218899,43024.92,Demais serviços,,6301,68,13,454,3,21,401,2701,563,372,89,71,71,318,343,6,204,288,52,263,0,0,8,1213,9,7,4,3,25757498741,1.02079E+11,0.257160585,0.321047641,1,0,0,1.747816322,0.84717817,0.447485855,0.190757414,0.256963944,0.097649197,0.00714359,222316,74,3,0.5977,0.5316,0.066177937,0.33933266
Roque Gonzales,RS,4316303,0,0.001804804,0.33291684,0.551709758,0.427877273,0.198247891,0.625243348,0.176508761,13722,41467,2228,0.688,0.687,0.843,0.563,-55.02918612,-28.13536699,147.91,71,401,348.06,Rota Missões,D,Rural Adjacente,52767.26,472.75,45245.8,33717.01,604476.65,6289.82,610766.47,7267,84046.58,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",21547661,201,0,0,17,0,0,1,78,31,6,1,0,1,6,4,4,9,5,14,24,0,0,2,84,0,2,0,2,0,100462735,0.298738948,0.150456588,0,0,0,43.48456298,0.884909066,0.631471603,0.180106683,0.127392532,0.061029181,0,7245,1,0,0.5716,0.5054,0.065841041,0.288132936
Rorainópolis,RR,1400472,0,0,0.242225792,0.479680326,0.438074056,0.333396014,0.61583302,0.050770967,2340,22284,3732,0.619,0.574,0.798,0.519,-60.42506049,0.937195394,83.8,478,1046,33579.74,Águas E Florestas Da Linha Do Equador,C,Rural Remoto,62063.98,36173.93,97.97,262297.53,458508.61,47623.05,506131.66,27756,18235.04,"Administração, defesa, educação e saúde públicas e seguridade social",,264,2,2,29,0,0,6,168,5,14,1,1,2,7,3,3,7,6,1,7,0,0,1,12,0,2,0,2,0,140933412,0.041106559,0.135103105,0,0,0,3.386042732,0.79080687,0.650885417,0.15625,0.140885417,0.034583333,0.017447917,28215,15,2,0.6916,0.5729,0.130068621,0.542784363
Rosana,SP,3544251,0,0.0013204,0.31268092,0.178496021,0.804529988,0.233871986,0.658628961,0.107499053,13069,48429,316,0.764,0.749,0.818,0.728,-53.05865448,-22.5811755,280.69,402,2426,744.01,Pontal Paulista,C,Urbano,39160.17,1921347.57,163024.35,96161.53,2219693.62,12668.99,2232362.61,18124,123171.63,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",70431617,1038,688,2,12,0,0,14,168,12,34,2,0,2,15,12,2,14,26,8,27,0,0,4,223,1,1,1,1,165868311,77053868,0.319012636,0.120893329,0,0,0,11.75433441,0.859936011,0.466721786,0.177818461,0.264394968,0.080434654,0.010630131,17795,1,0,0.6059,0.6092,0.066887065,0.416435445
Rosário,MA,2109601,0,0,0.239059026,0.400380509,0.605872246,0.291600634,0.619693052,0.088706314,1580,3250,3451,0.632,0.566,0.752,0.592,-44.2475186,-2.941543035,17.54,893,1398,648,Polo Munin,D,Urbano,13878.08,27.09,129690.77,113125.94,283780.08,22461.13,306241.21,42016,7288.68,"Administração, defesa, educação e saúde públicas e seguridade social",63843396,316,5,2,24,0,2,2,155,7,10,2,1,1,3,5,2,53,6,2,34,0,0,3,133,1,2,1,2,105814106,165624860,0.040652512,0.110917565,0,0,0,2.353938139,0.804907014,0.583550463,0.168042693,0.226997332,0.019023701,0.002417203,42314,30,0,0.6121,0.5147,0.166871204,0.470404984
Rosário Da Limeira,MG,3156452,0,0,0.334589122,0.434904996,0.537555922,0.197547087,0.654402102,0.14805081,1056,5153,2866,0.662,0.653,0.812,0.548,-42.50605997,-20.9812982,745.45,204,95,111.16,Serra Do Brigadeiro,E,Rural Adjacente,8508.13,6270.24,13.65,20649.69,49079.65,1768.44,50.85,4553,11168.04,"Administração, defesa, educação e saúde públicas e seguridade social",,77,1,0,15,1,0,2,32,8,5,0,0,0,1,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0.217477004,0.251204555,0,0,0,21.90100745,0.867200377,0.680423568,0.142546837,0.141460766,0.028509367,0.006787945,4580,2,0,0.562,0.4884,0.126387009,0.317997294
Rosário Do Catete,SE,2806107,0,0,0.284676282,0.280761905,0.783103785,0.279047223,0.649079075,0.071873702,2291,5748,3474,0.631,0.603,0.731,0.571,-37.03132286,-10.69458998,16.87,136,312,102.83,Polo Dos Tabuleiros,D,Urbano,7.88,257.41,119050.74,75609.13,459950.02,72351.45,532301.47,10533,50536.55,Indústrias de transformação,54748201,80,2,1,3,0,0,4,32,9,5,0,0,0,2,7,4,1,0,1,9,0,0,0,0,0,1,0,1,0,24424872,0.098064878,0.0702066,0,0,0,9.348415444,0.809565123,0.569457468,0.168251842,0.213931681,0.039785666,0.008707301,10699,2,0,0.5488,0.5148,0.130294906,0.457372654
